  ID       E_NAME            cluster      X(m)         Y(m)         Z(m)
000841  HIEKAWATOUGE-A         C3    -3954305.373  3428964.001  3633535.229
000842  OKABE-A                C3    -3904422.679  3484842.845  3633777.214
000843  OKAYAMAKAMO-A          C4    -3629010.761  3751453.599  3653899.076
009019  M-USU9                 A1    -3645982.150  2973286.079  4292412.015
009020  M-USU2                 A1    -3641021.362  2973855.599  4296449.857
009021  M-USU1                 A1    -3652048.229  2974180.199  4286506.270
009022  M-USU3                 A1    -3647807.578  2971399.370  4292173.245
009023  M-USU4                 A1    -3649746.169  2970414.262  4291199.624
009024  M-USU5                 A1    -3646741.719  2976753.162  4289224.370
009025  M-USU6                 A1    -3649717.297  2975922.344  4287301.860
009026  M-USU7                 A1    -3645969.034  2973337.800  4292388.135
009027  M-USU8                 A1    -3649602.601  2973368.394  4289822.329
009028  M-NIIJIMA              A3    -3994843.583  3440751.103  3577714.286
009029  T-KITASHIOBARA         A2    -3877334.169  3249001.525  3873433.582
009030  T-SHIBUTANI            A2    -3883605.675  3244346.295  3870325.372
009031  T-NISHIHAKU            A5    -3573966.600  3788947.845  3668995.507
009032  T-KUROSAKA             A4    -3583876.986  3791910.769  3656699.191
009033  M-TAKOU                A3    -3994571.386  3453838.925  3565167.382
009034  M-KONOKUCHI            A3    -3993073.832  3443639.645  3576588.856
009035  M-ADOYAMA              A3    -3992879.449  3436281.452  3584044.743
009036  M-NIIJIMAKUUKOU        A3    -3993653.404  3438886.609  3580491.506
009037  M-KAESHIHAMA           A3    -3993062.752  3452848.942  3568090.744
009038  M-MIYAKEKUUKOU         A3    -4025407.782  3430843.291  3552712.290
009039  M-MIYAKEKUUKOU2        A3    -4025411.804  3430852.843  3552698.981
009040  M-AKO                  A3    -4020584.613  3436230.197  3552957.284
009041  M-AKO2                 A3    -4020586.497  3436227.950  3552957.569
009042  M-NIIJIMATOUDAI        A3    -3995368.839  3440247.270  3577411.563
009043  T-TANDO                A4    -3642276.807  3708231.745  3684684.765
009044  T-OKUHATTA             A4    -3640479.647  3710536.550  3683996.893
009045  T-KAMIKUISHIKI         A3    -3901955.204  3439152.381  3680867.515
00R011  R-SENDAI5              A2    -3872034.303  3178902.323  3934879.754
00R012  R-SENDAI6              A2    -3871837.936  3185872.653  3929488.229
00R013  R-SENDAI7              A2    -3893373.354  3163278.039  3925910.209
00R014  R-SENDAI8              A2    -3889093.276  3181793.463  3915311.725
00R015  R-OOMACHI3             A2    -3795913.895  3451495.860  3779088.876
00R016  R-SAKAKI               A2    -3827612.164  3426502.644  3768195.410
00R017  R-UEDA                 A2    -3832382.960  3425376.084  3764415.599
00R018  R-NAGANOYAMAGATA       A2    -3823888.371  3457847.361  3743875.278
00R019  R-MATSUMOTO            A2    -3833503.920  3444540.248  3746803.096
010844  AOMORI-A               C1    -3745613.865  3053701.153  4148558.245
010845  KOHRIYAMA1-A           C2    -3906820.805  3240696.685  3849564.732
010846  KOUCHIOOKAWA-A         C4    -3649346.153  3850746.733  3530247.801
019046  M-UBAKURAYAMA          A1    -3809231.106  3089368.841  4066238.806
019047  M-YAKEBA               A3    -4021208.780  3430637.758  3557685.927
019048  M-SHINMYOUIKE          A3    -4022945.280  3435594.204  3550939.604
019049  M-KAMIYOSHIDA          A3    -3912044.431  3429322.963  3679529.549
019050  M-KOMAGATAKE           A1    -3670372.970  3004977.327  4250786.855
019051  M-TARUMAESAN           A1    -3668929.934  2932038.129  4302454.829
019052  T-SENGOKUHARA          A3    -3935720.877  3419401.099  3662929.259
019053  M-FUJIONIWA            A3    -3913220.765  3436445.217  3674090.834
019054  T-MIHARAKAKOKITA       A3    -3984371.589  3415441.430  3613933.146
019055  T-SENZU                A3    -3983633.267  3414079.774  3615805.053
01S042  S-MINO2-A              A4    -3673385.569  3807734.324  3550274.768
020847  MISAKUBO-A             A3    -3871554.243  3502053.738  3652627.320
020848  WAKKANAI3              A1    -3525796.398  2759091.581  4527594.077
020849  WAKKANAI4              A1    -3539945.599  2777489.674  4505441.187
020850  NAKATONBETSU           A1    -3574669.729  2763590.493  4486638.438
020851  HORONOBE               A1    -3566188.924  2784029.751  4480781.583
